titre;realisateur;date_debut;date_fin;cadre;lieu;arrondissement;adresse_complete;geo_coordinates
MONSIEUR PAPA;KAD MERAD;02/09/2010;02/10/2010;EXTERIEUR;SQUARE VOIRIE RAPP;75007;SQUARE VOIRIE  RAPP 75007 Paris France;
MONSIEUR PAPA;KAD MERAD;03/03/2010;03/03/2010;EXTERIEUR;QUAI DE JEMMAPES;75010;QUAI DE JEMMAPES 75010 Paris France;48.876681, 2.365244
MONSIEUR PAPA;KAD MERAD;02/06/2010;02/06/2010;EXTERIEUR;PLACE GUILLAUMIN;75008;PLACE GUILLAUMIN 75008 Paris France;
MONSIEUR PAPA;KAD MERAD;02/08/2010;02/09/2010;EXTERIEUR;PLACE GUILLAUMIN;75008;PLACE GUILLAUMIN 75008 Paris France;
MONSIEUR PAPA;KAD MERAD;16/03/2010;16/03/2010;EXTERIEUR;RUE GOUBET;75019;RUE GOUBET 75019 Paris France;
MONSIEUR PAPA;KAD MERAD;02/06/2010;02/06/2010;EXTERIEUR;RUE BERRYER;75008;RUE BERRYER 75008 Paris France;
MONSIEUR PAPA;KAD MERAD;02/08/2010;02/09/2010;EXTERIEUR;RUE BERRYER;75008;RUE BERRYER 75008 Paris France;
PARIS CONNECTIONS;HARLEY COKELISS;02/04/2010;02/04/2010;EXTERIEUR;RUE PIEMONTESI;75018;RUE PIEMONTESI 75018 Paris France;
PARIS CONNECTIONS;HARLEY COKELISS;17/02/2010;17/02/2010;EXTERIEUR;RUE DES LOMBARDS;75004;RUE DES LOMBARDS 75004 Paris France;48.859203, 2.349604
LEA;BRUNO ROLLAND;24/02/2010;24/02/2010;EXTERIEUR;BOULEVARD VINCENT AURIOL;75013;BOULEVARD VINCENT AURIOL 75013 Paris France;48.833906, 2.364923
UNE FOLLE ENVIE;BERNARD JEANJEAN;25/02/2010;25/02/2010;DOMAINE PUBLIC;PASSERELLE DES RECOLLETS;75010;PASSERELLE  DES RECOLLETS 75010 Paris France;
THE TOURIST;F. VON DONNERSMARCK;26/02/2010;26/02/2010;EXTERIEUR;RUE DU QUATRE SEPTEMBRE;75002;RUE DU QUATRE SEPTEMBRE 75002 Paris France;
THE TOURIST;F. VON DONNERSMARCK;26/02/2010;26/02/2010;EXTERIEUR;PLACE DE LA CONCORDE;75008;PLACE DE LA CONCORDE 75008 Paris France;48.865519, 2.321454
THE TOURIST;F. VON DONNERSMARCK;25/02/2010;25/02/2010;EXTERIEUR;GALERIE VIVIENNE;75002;GALERIE VIVIENNE 75002 Paris France;
THE TOURIST;F. VON DONNERSMARCK;26/02/2010;26/02/2010;EXTERIEUR;RUE DE MARIVAUX;75002;RUE DE MARIVAUX 75002 Paris France;
THE TOURIST;F. VON DONNERSMARCK;25/02/2010;25/02/2010;EXTERIEUR;PLACE DES PETITS PERES;75002;PLACE DES PETITS PERES 75002 Paris France;48.866469, 2.341039
THE TOURIST;F. VON DONNERSMARCK;21/05/2010;21/05/2010;EXTERIEUR;PLACE COLETTE;75001;PLACE COLETTE 75001 Paris France;48.863194, 2.335833
