titre;realisateur;date_debut;date_fin;cadre;lieu;arrondissement;adresse_complete;geo_coordinates
ROSES A CREDIT;AMOS GITAÃ;03/05/2010;03/05/2010;DOMAINE PUBLIC;BERGES DU QUAI DE BOUBON;75004;BERGES  DU QUAI DE BOUBON 75004 Paris France;
ROSES A CREDIT;AMOS GITAÃ;03/05/2010;03/05/2010;EXTERIEUR;QUAI DE BOURBON;75004;QUAI DE BOURBON 75004 Paris France;48.853023, 2.355285
MA PREMIERE FOIS;M.C MENTION SCHAAR;17/08/2010;17/08/2010;EXTERIEUR;PLACE DE LA CONCORDE;75008;PLACE DE LA CONCORDE 75008 Paris France;48.865519, 2.321454
MA PREMIERE FOIS;M.C MENTION SCHAAR;28/06/2010;28/06/2010;EXTERIEUR;PONT DU CARROUSEL;75001;PONT DU CARROUSEL 75001 Paris France;48.859391, 2.332942
IL RESTE DU JAMBON;ANNE DEPETRINI;04/07/2010;04/07/2010;EXTERIEUR;RUE MONTMARTRE;75002;RUE MONTMARTRE 75002 Paris France;48.867292, 2.344011
IL RESTE DU JAMBON;ANNE DEPETRINI;05/11/2010;05/11/2010;EXTERIEUR;BOIS DE BOULOGNE;75016;BOIS  DE BOULOGNE 75016 Paris France;
IL RESTE DU JAMBON;ANNE DEPETRINI;04/06/2010;04/06/2010;EXTERIEUR;RUE AUGUSTE COMTE;75006;RUE AUGUSTE COMTE 75006 Paris France;48.844318, 2.335633
IL RESTE DU JAMBON;ANNE DEPETRINI;05/12/2010;05/12/2010;EXTERIEUR;RUE DE LA CHAUSSEE D'ANTIN;75009;RUE DE LA CHAUSSEE D'ANTIN 75009 Paris France;48.873633, 2.332997
IL RESTE DU JAMBON;ANNE DEPETRINI;24/03/2010;24/03/2010;EXTERIEUR;RUE DE PASSY;75016;RUE DE PASSY 75016 Paris France;48.857734, 2.279811
IL RESTE DU JAMBON;ANNE DEPETRINI;22/04/2010;22/04/2010;EXTERIEUR;RUE EMERIAU;75015;RUE EMERIAU 75015 Paris France;48.849847, 2.286355
IL RESTE DU JAMBON;ANNE DEPETRINI;05/12/2010;05/12/2010;EXTERIEUR;RUE HALEVY;75009;RUE HALEVY 75009 Paris France;48.872063, 2.332745
LES FEMMES DU 6EME ETAGE;PHILIPPE LE GUAY;05/07/2010;05/07/2010;EXTERIEUR;PARVIS DE L'EGLISE NOTRE DAME DE GRACE DE PASSY;75015;PARVIS  DE L'EGLISE NOTRE DAME DE GRACE DE PASSY 75015 Paris France;
LES FEMMES DU 6EME ETAGE;PHILIPPE LE GUAY;05/06/2010;05/06/2010;DOMAINE PUBLIC;JARDIN DE LA PLACE RODIN;75016;JARDIN  DE LA PLACE RODIN 75016 Paris France;
LES FEMMES DU 6EME ETAGE;PHILIPPE LE GUAY;04/09/2010;04/09/2010;EXTERIEUR;RUE DE MESSINE;75008;RUE DE MESSINE 75008 Paris France;48.877143, 2.311356
LES FEMMES DU 6EME ETAGE;PHILIPPE LE GUAY;19/03/2010;19/03/2010;DOMAINE PUBLIC;BOIS DE BOULOGNE;75016;BOIS  DE BOULOGNE 75016 Paris France;
BLANCHE NUIT;FABRICE SEBILLE;31/03/2010;31/03/2010;EXTERIEUR;RUE DE LA FOLIE MERICOURT/BOULEVARD VOLTAIRE;75011;RUE DE LA FOLIE MERICOURT/BOULEVARD VOLTAIRE 75011 Paris France;
BLANCHE NUIT;FABRICE SEBILLE;31/03/2010;31/03/2010;EXTERIEUR;AVENUE PARMENTIER;75011;AVENUE PARMENTIER 75011 Paris France;48.864882, 2.374877
LOVE AND BRUISES/FLEUR;LOU YE;21/04/2010;21/04/2010;EXTERIEUR;BOULEVARD VINCENT AURIOL;75013;BOULEVARD VINCENT AURIOL 75013 Paris France;48.833906, 2.364923
MON POTE;MARC ESPOSITO;30/06/2010;30/06/2010;EXTERIEUR;RUE DU CARDINAL DUBOIS;75018;RUE DU CARDINAL DUBOIS 75018 Paris France;48.885897, 2.343163
MON POTE;MARC ESPOSITO;26/04/2010;26/04/2010;DOMAINE PUBLIC;ECOLE ELEMENTAIRE SAINT MAUR;75011;ECOLE  ELEMENTAIRE SAINT MAUR 75011 Paris France;
MON POTE;MARC ESPOSITO;05/04/2010;05/04/2010;EXTERIEUR;RUE MARTEL;75010;RUE MARTEL 75010 Paris France;48.874212, 2.353121
MON POTE;MARC ESPOSITO;30/06/2010;30/06/2010;EXTERIEUR;RUE LOUIS BLANC;75010;RUE LOUIS BLANC 75010 Paris France;48.881333, 2.364755
MON POTE;MARC ESPOSITO;05/06/2010;05/06/2010;DOMAINE PUBLIC;RUE ELEMENTAIRE RUE DE LA REPUBLIQUE;75011;RUE ELEMENTAIRE RUE DE LA REPUBLIQUE 75011 Paris France;
LA FEMME DU CINQUIEME;PAWEL PAWLIKOWSKI;20/04/2010;20/04/2010;EXTERIEUR;BOULEVARD JULES SANDEAU;75016;BOULEVARD JULES SANDEAU 75016 Paris France;48.86176, 2.272853
LA FEMME DU CINQUIEME;PAWEL PAWLIKOWSKI;04/12/2010;04/12/2010;EXTERIEUR;PLACE DE L'EUROPE;75008;PLACE DE L'EUROPE 75008 Paris France;48.879098, 2.323412
LA FEMME DU CINQUIEME;PAWEL PAWLIKOWSKI;19/04/2010;19/04/2010;EXTERIEUR;RUE DE BELLEFOND;75009;RUE DE BELLEFOND 75009 Paris France;48.87787, 2.346925
SI TU MEURS, JE TE TUE;HINER SALEEM;19/05/2010;19/05/2010;EXTERIEUR;RUE DU FAUBOURG POISSONNIERE;75010;RUE DU FAUBOURG POISSONNIERE 75010 Paris France;48.876922, 2.348847
SI TU MEURS, JE TE TUE;HINER SALEEM;21/05/2010;21/05/2010;EXTERIEUR;BERGES DU QUAI DE LA SEINE;75010;BERGES  DU QUAI DE LA SEINE 75010 Paris France;
SI TU MEURS, JE TE TUE;HINER SALEEM;18/05/2010;18/05/2010;EXTERIEUR;PARVIS DE L'EGLISE SAINT VINCENT DE PAUL;75010;PARVIS  DE L'EGLISE SAINT VINCENT DE PAUL 75010 Paris France;
SI TU MEURS, JE TE TUE;HINER SALEEM;14/04/2010;14/04/2010;EXTERIEUR;RUE DE MAUBEUGE;75010;RUE DE MAUBEUGE 75010 Paris France;48.881148, 2.353388
SI TU MEURS, JE TE TUE;HINER SALEEM;06/03/2010;06/03/2010;EXTERIEUR;RUE DE BELLEFOND;75009;RUE DE BELLEFOND 75009 Paris France;48.87787, 2.346925
SI TU MEURS, JE TE TUE;HINER SALEEM;05/11/2010;05/11/2010;EXTERIEUR;RUE DE ROCHECHOUART;75009;RUE DE ROCHECHOUART 75009 Paris France;
SI TU MEURS, JE TE TUE;HINER SALEEM;05/04/2010;05/04/2010;EXTERIEUR;PLACE DU 8 NOVEMBRE;75010;PLACE DU 8 NOVEMBRE 75010 Paris France;
SI TU MEURS, JE TE TUE;HINER SALEEM;21/05/2010;21/05/2010;EXTERIEUR;RUE LAFAYETTE;75010;RUE LAFAYETTE 75010 Paris France;48.878015, 2.352137
SI TU MEURS, JE TE TUE;HINER SALEEM;28/05/2010;28/05/2010;EXTERIEUR;RUE D'ALSACE;75010;RUE D'ALSACE 75010 Paris France;48.877875, 2.3583
SI TU MEURS, JE TE TUE;HINER SALEEM;04/12/2010;04/12/2010;EXTERIEUR;RUE MESSIER;75014;RUE MESSIER 75014 Paris France;48.833991, 2.338087
SI TU MEURS, JE TE TUE;HINER SALEEM;20/04/2010;20/04/2010;EXTERIEUR;AVENUE DE LA PORTE DE CHOISY;75013;AVENUE DE LA PORTE DE CHOISY 75013 Paris France;
LA LIGNE DROITE;REGIS WARGNIER;06/10/2010;06/10/2010;DOMAINE PUBLIC;BOIS DE VINCENNES;75012;BOIS  DE VINCENNES 75012 Paris France;
LA LIGNE DROITE;REGIS WARGNIER;07/02/2010;07/02/2010;DOMAINE PUBLIC;MAIL DE BIEVRE;75013;MAIL DE BIEVRE 75013 Paris France;
L'ART DE SEDUIRE;GUY MAZARGUIL;27/05/2010;27/05/2010;EXTERIEUR;PROMENADE ERIC TABARLY;75019;PROMENADE  ERIC TABARLY 75019 Paris France;
L'ART DE SEDUIRE;GUY MAZARGUIL;13/06/2010;13/06/2010;EXTERIEUR;RUE LEOPOLD BELLAND;75002;RUE LEOPOLD BELLAND 75002 Paris France;
L'ART DE SEDUIRE;GUY MAZARGUIL;28/05/2010;28/05/2010;EXTERIEUR;RUE JOMARD;75019;RUE JOMARD 75019 Paris France;48.889362, 2.379047
INCONTROLABLE;RAFFY SHART;08/01/2005;08/03/2005;DOMAINE PUBLIC;PARC MONCEAU;75008;PARC MONCEAU 75008 Paris France;48.880744, 2.311696
INCONTROLABLE;RAFFY SHART;08/01/2005;08/03/2005;EXTERIEUR;PLACE DE LA REPUBLIQUE DOMINICAINE;75008;PLACE DE LA REPUBLIQUE DOMINICAINE 75008 Paris France;48.880451, 2.309134
A L'ARRACHE;KIM MASSEE;20/07/2005;20/07/2005;EXTERIEUR;RUE RAYMOND QUENEAU;75018;RUE RAYMOND QUENEAU 75018 Paris France;48.895387, 2.360967
JARDINS EN AUTOMNE;OTAR IOSSELIANI;08/01/2005;08/02/2005;EXTERIEUR;RUE VICAIRE;75003;RUE VICAIRE 75003 Paris France;48.865295, 2.362033
NOUVELLE CHANCE;ANNE FONTAINE;28/08/2005;28/08/2005;EXTERIEUR;RUE DE MENILMONTANT;75020;RUE DE MENILMONTANT 75020 Paris France;48.865061, 2.39905
NOUVELLE CHANCE;ANNE FONTAINE;15/08/2005;15/08/2005;EXTERIEUR;RUE DE MENILMONTANT;75020;RUE DE MENILMONTANT 75020 Paris France;48.865061, 2.39905
LES BRIGADES DU TIGRE;JEROME CORNUAU;30/09/2005;30/09/2005;EXTERIEUR;RUE DU CHEVALIER DE LA BARRE;75018;RUE DU CHEVALIER DE LA BARRE 75018 Paris France;48.887546, 2.344538
LES BRIGADES DU TIGRE;JEROME CORNUAU;10/05/2005;10/05/2005;EXTERIEUR;RUE DE LA MANUTENTION;75016;RUE DE LA MANUTENTION 75016 Paris France;48.864256, 2.295878
CAMPING;FABIEN ONTENIENTE;08/01/2005;08/01/2005;EXTERIEUR;RUE DES MORILLONS;75015;RUE DES MORILLONS 75015 Paris France;48.832634, 2.300986
LA JUNGLE;MATTHIEU DELAPORT;31/08/2005;31/08/2005;EXTERIEUR;AVENUE DE RANELAGH;75016;AVENUE DE RANELAGH 75016 Paris France;48.858451, 2.268731
LA JUNGLE;MATTHIEU DELAPORT;19/08/2005;19/08/2005;EXTERIEUR;AVENUE TRUDAINE;75009;AVENUE TRUDAINE 75009 Paris France;48.881317, 2.343498
LA JUNGLE;MATTHIEU DELAPORT;19/10/2005;19/10/2005;DOMAINE PUBLIC;PISCINE DRIGNY;75009;PISCINE DRIGNY 75009 Paris France;48.878281, 2.336967
LA JUNGLE;MATTHIEU DELAPORT;25/08/2005;25/08/2005;EXTERIEUR;PONT DE BERCY;75012;PONT DE BERCY 75012 Paris France;48.838055, 2.374888
LA JUNGLE;MATTHIEU DELAPORT;29/08/2005;29/08/2005;EXTERIEUR;PONT DE BERCY (TERRE PLEIN);75012;PONT DE BERCY (TERRE PLEIN) 75012 Paris France;48.872187, 2.376825
LA JUNGLE;MATTHIEU DELAPORT;16/08/2005;16/08/2005;EXTERIEUR;RUE DU THEATRE;75015;RUE DU THEATRE 75015 Paris France;48.848002, 2.290446
LA JUNGLE;MATTHIEU DELAPORT;23/08/2005;23/08/2005;EXTERIEUR;RUE DU FAUBOURG SAINT DENIS;75010;RUE DU FAUBOURG SAINT DENIS 75010 Paris France;48.877194, 2.356223
LA JUNGLE;MATTHIEU DELAPORT;16/08/2005;16/08/2005;EXTERIEUR;RUE ROBERT DE FLERS;75015;RUE ROBERT DE FLERS 75015 Paris France;48.849776, 2.284401
NOUVELLE DONNE;JOACHIM TRIER;18/09/2005;18/09/2005;EXTERIEUR;RUE DU BOULEVARD SAINT MICHEL;75006;RUE DU BOULEVARD SAINT MICHEL 75006 Paris France;48.847822, 2.341179
LES AMITIES MALEFIQUES;EMMANUEL BOURDIEU;19/09/2005;19/09/2005;EXTERIEUR;AVENUE PARMENTIER;75011;AVENUE PARMENTIER 75011 Paris France;48.864882, 2.374877
LES AMITIES MALEFIQUES;EMMANUEL BOURDIEU;29/08/2005;29/08/2005;EXTERIEUR;RUE DE PICARDIE;75003;RUE DE PICARDIE 75003 Paris France;48.863829, 2.362811
LES AMITIES MALEFIQUES;EMMANUEL BOURDIEU;29/08/2005;29/08/2005;EXTERIEUR;RUE DE BRETAGNE;75003;RUE DE BRETAGNE 75003 Paris France;48.863247, 2.361856
PARIS JE T'AIME;FREDERIC AUBURTIN;18/11/2005;18/11/2005;EXTERIEUR;AVENUE DU COLONEL ROL TANGUY;75014;AVENUE DU COLONEL ROL TANGUY 75014 Paris France;48.834216, 2.3323
PARIS JE T'AIME;FREDERIC AUBURTIN;08/01/2005;08/01/2005;EXTERIEUR;BOULEVARD DE COURCELLES;75017;BOULEVARD DE COURCELLES 75017 Paris France;48.880334, 2.308592
PARIS JE T'AIME;FREDERIC AUBURTIN;10/05/2005;10/05/2005;DOMAINE PUBLIC;MARCHE D'ALIGRE;75012;MARCHE D'ALIGRE 75012 Paris France;
PARIS JE T'AIME;FREDERIC AUBURTIN;25/08/2005;26/08/2005;EXTERIEUR;PLACE DES VICTOIRES;75002;PLACE DES VICTOIRES 75002 Paris France;48.865915, 2.341197
PARIS JE T'AIME;FREDERIC AUBURTIN;25/08/2005;26/08/2005;EXTERIEUR;RUE NOTRE DAME DES VICTOIRES;75002;RUE NOTRE DAME DES VICTOIRES 75002 Paris France;48.86847, 2.341883
PARIS JE T'AIME;FREDERIC AUBURTIN;26/09/2005;26/09/2005;EXTERIEUR;RUE DE SAINTONGE;75003;RUE DE SAINTONGE 75003 Paris France;48.862861, 2.36377
PARIS JE T'AIME;FREDERIC AUBURTIN;09/09/2005;09/09/2005;EXTERIEUR;RUE DES ROSIERS;75004;RUE DES ROSIERS 75004 Paris France;48.857021, 2.359743
PARIS JE T'AIME;FREDERIC AUBURTIN;26/07/2005;26/07/2005;EXTERIEUR;RUE DE L'UNIVERSITE;75007;RUE DE L'UNIVERSITE 75007 Paris France;48.861018, 2.314093
PARIS JE T'AIME;FREDERIC AUBURTIN;25/08/2005;26/08/2005;EXTERIEUR;RUE VIDE GROUSSET;75002;RUE VIDE GROUSSET 75002 Paris France;48.866127, 2.341411
PARIS JE T'AIME;FREDERIC AUBURTIN;20/09/2005;20/09/2005;EXTERIEUR;RUE RAYMOND LOSSERAND;75014;RUE RAYMOND LOSSERAND 75014 Paris France;48.832052, 2.314553
PARIS JE T'AIME;FREDERIC AUBURTIN;09/09/2005;09/09/2005;DOMAINE PUBLIC;SQUARE ARMAND TROUSSEAU;75012;SQUARE ARMAND TROUSSEAU 75012 Paris France;48.850446, 2.377093
QUELQUES JOURS EN SEPTEMBRE;SANTIAGO AMIGORENA;21/09/2005;21/09/2005;EXTERIEUR;PORT DES CHAMPS ELYSEES;75008;PORT DES CHAMPS ELYSEES 75008 Paris France;48.864421, 2.3145
QUELQUES JOURS EN SEPTEMBRE;SANTIAGO AMIGORENA;23/09/2005;23/09/2005;EXTERIEUR;RUE D'ALIGRE (PLACE BEAUVAU);75012;RUE D'ALIGRE (PLACE BEAUVAU) 75012 Paris France;48.871219, 2.316482
LES ANGES EXTERMINATEURS;JEAN CLAUDE BRISSEAU;10/05/2005;10/05/2005;EXTERIEUR;PLACE DE WAGRAM;75017;PLACE DE WAGRAM 75017 Paris France;48.887174, 2.304821
LE GRAND APPARTEMENT;PASCAL THOMAS;09/09/2005;09/09/2005;EXTERIEUR;RUE BAYARD;75008;RUE BAYARD 75008 Paris France;48.866322, 2.307816
ECHANGE;CHRISTIAN DITTER;09/08/2005;09/09/2005;EXTERIEUR;PONT DES ARTS;75006;PONT DES ARTS 75006 Paris France;48.858795, 2.337747
TAKE THIS WALTZ;FLORENCE COLOMBANI;09/06/2005;09/06/2005;EXTERIEUR;RUE DE LA CORDERIE;75003;RUE DE LA CORDERIE 75003 Paris France;48.865175, 2.362992
TAKE THIS WALTZ;FLORENCE COLOMBANI;09/07/2005;09/07/2005;EXTERIEUR;RUE RAMBUTEAU;75003;RUE RAMBUTEAU 75003 Paris France;48.861046, 2.354028
TAKE THIS WALTZ;FLORENCE COLOMBANI;09/07/2005;09/07/2005;EXTERIEUR;RUE DU TEMPLE;75004;RUE DU TEMPLE 75004 Paris France;48.860875, 2.355606
TAKE THIS WALTZ;FLORENCE COLOMBANI;09/06/2005;09/06/2005;EXTERIEUR;RUE AU MAIRE;75003;RUE AU MAIRE 75003 Paris France;48.864791, 2.355425
LES MURS PORT;CYRIL GELBLAT;10/04/2006;10/04/2006;EXTERIEUR;RUE DES ROSIERS;75004;RUE DES ROSIERS 75004 Paris France;48.857021, 2.359743
LES MURS PORT;CYRIL GELBLAT;24/10/2005;24/10/2005;EXTERIEUR;RUE LAMBARDIE;75012;RUE LAMBARDIE 75012 Paris France;48.839891, 2.396468
LES MURS PORT;CYRIL GELBLAT;16/09/2005;16/09/2005;EXTERIEUR;RUE ROTTEMBOURG ET RUE DE LA VEGA;75012;RUE ROTTEMBOURG ET RUE DE LA VEGA 75012 Paris France;48.838345, 2.405188
LES MURS PORT;CYRIL GELBLAT;10/05/2006;10/05/2006;EXTERIEUR;RUE DE JARENTE;75004;RUE DE JARENTE 75004 Paris France;48.855692, 2.362975
LES MURS PORT;CYRIL GELBLAT;10/05/2006;10/05/2006;DOMAINE PUBLIC;SQUARE DU TEMPLE;75003;SQUARE DU TEMPLE 75003 Paris France;48.8647, 2.359638
EXES;MARTIN COGNITO;15/09/2005;15/09/2005;EXTERIEUR;BOULEVARD DE CLICHY;75009;BOULEVARD DE CLICHY 75009 Paris France;48.883321, 2.333763
EXES;MARTIN COGNITO;14/09/2005;14/09/2005;EXTERIEUR;BOULEVARD DE CLICHY;75009;BOULEVARD DE CLICHY 75009 Paris France;48.883321, 2.333763
EXES;MARTIN COGNITO;19/09/2005;19/09/2005;EXTERIEUR;RUE DE LA VERRERIE;75004;RUE DE LA VERRERIE 75004 Paris France;48.85797, 2.35299
RESILIENCE;MAIWENN LE BESCO;14/09/2005;14/09/2005;DOMAINE PUBLIC;PARC MONCEAU;75008;PARC MONCEAU 75008 Paris France;48.880744, 2.311696
LA FAUTE A FIDEL;JULIE GAVRAS;15/11/2005;15/11/2005;EXTERIEUR;RUE MARCEL PROUST;75016;RUE MARCEL PROUST 75016 Paris France;48.856211, 2.282679
LA FAUTE A FIDEL;JULIE GAVRAS;15/11/2005;15/11/2005;EXTERIEUR;RUE MIRABEAU;75016;RUE MIRABEAU 75016 Paris France;48.846279, 2.270013
LA FAUTE A FIDEL;JULIE GAVRAS;10/04/2005;10/04/2005;EXTERIEUR;RUE DE LA FRATERNITE;75019;RUE DE LA FRATERNITE 75019 Paris France;48.881166, 2.393722
LA FAUTE A FIDEL;JULIE GAVRAS;10/06/2005;10/06/2005;DOMAINE PUBLIC;SQUARE CARPEAUX;75018;SQUARE CARPEAUX 75018 Paris France;48.892483, 2.332744
PARIS, JE T'AIME;D. THOMAS;10/08/2005;10/08/2005;EXTERIEUR;AIRE DE JEUX GEORGES MANDEL;75016;AIRE DE JEUX GEORGES MANDEL 75016 Paris France;48.853093, 2.248763
TRUANDS;F.SCHOENDOERFFER;21/11/2005;21/11/2005;DOMAINE PUBLIC;BOIS DE VINCENNES;75012;BOIS DE VINCENNES 75012 Paris France;48.832576, 2.418326
THE QUEEN;STEPHEN FREARS;11/08/2005;11/09/2005;EXTERIEUR;COURS ALBERT 1ER;75008;COURS ALBERT 1ER 75008 Paris France;48.8647, 2.308095
TRES BIEN MERCI;EMMANUELLE CUAU;18/11/2005;18/11/2005;EXTERIEUR;RUE BISCORNET;75012;RUE BISCORNET 75012 Paris France;48.850192, 2.369834
TRES BIEN MERCI;EMMANUELLE CUAU;15/12/2005;15/12/2005;EXTERIEUR;RUE DES RECULETTES;75013;RUE DES RECULETTES 75013 Paris France;48.831909, 2.351132
TRES BIEN MERCI;EMMANUELLE CUAU;16/12/2005;16/12/2005;EXTERIEUR;RUE DE PRAGUE;75012;RUE DE PRAGUE 75012 Paris France;48.849056, 2.375963
CE QUE JE SAIS DE LOLA;JAVIER REBOLLO;24/11/2005;24/11/2005;EXTERIEUR;BOULEVARD DE CLICHY;75018;BOULEVARD DE CLICHY 75018 Paris France;48.883617, 2.333584
CE QUE JE SAIS DE LOLA;JAVIER REBOLLO;12/05/2005;12/05/2005;DOMAINE PUBLIC;PISCINE DES AMIRAUX;75018;PISCINE DES AMIRAUX 75018 Paris France;48.89215, 2.344447
ANDALUCIA;ALAIN GOMIS;12/07/2005;12/07/2005;EXTERIEUR;RUE DES GARDES;75018;RUE DES GARDES 75018 Paris France;48.885999, 2.353013
ANDALUCIA;ALAIN GOMIS;19/11/2005;19/11/2005;EXTERIEUR;RUE DU CYGNE;75001;RUE DU CYGNE 75001 Paris France;48.863204, 2.349333
ANDALUCIA;ALAIN GOMIS;12/07/2005;12/07/2005;EXTERIEUR;RUE SAINT LUC;75018;RUE SAINT LUC 75018 Paris France;48.886309, 2.354282
ANDALUCIA;ALAIN GOMIS;12/12/2005;12/12/2005;EXTERIEUR;RUE DU FAUBOURG POISSONNIERE;75009;RUE DU FAUBOURG POISSONNIERE 75009 Paris France;48.877358, 2.349005
ANDALUCIA;ALAIN GOMIS;14/12/2005;14/12/2005;EXTERIEUR;RUE BASSANO;75008;RUE BASSANO 75008 Paris France;48.870385, 2.298954
SUZANNE ET LES VIEILLARDS;VIVIANE CANDAS;21/11/2005;21/11/2005;EXTERIEUR;PONT D'IENA;75007;PONT D'IENA 75007 Paris France;48.859703, 2.292223
NOS AMIS LES TERRIENS;BERNARD WERBER;28/11/2005;28/11/2005;EXTERIEUR;AVENUE HOCHE;75016;AVENUE HOCHE 75016 Paris France;48.877296, 2.303154
NOS AMIS LES TERRIENS;BERNARD WERBER;12/01/2005;12/01/2005;DOMAINE PUBLIC;CIMETIERE DE PANTIN;93500;CIMETIERE DE PANTIN 93500 Paris France;48.908237, 2.400032
MAUVAISE FOI;ROSCHDY ZEM;30/01/2006;30/01/2006;EXTERIEUR;RUE BOUCHARDON;75010;RUE BOUCHARDON 75010 Paris France;48.870451, 2.357612
MAUVAISE FOI;ROSCHDY ZEM;01/10/2006;13/01/2006;EXTERIEUR;RUE DU FAUBOURG DU TEMPLE;75010;RUE DU FAUBOURG DU TEMPLE 75010 Paris France;48.869691, 2.370054
MAUVAISE FOI;ROSCHDY ZEM;30/01/2006;30/01/2006;EXTERIEUR;RUE DU CHATEAU D'EAU;75010;RUE DU CHATEAU D'EAU 75010 Paris France;48.870937, 2.358799
MES COPINES;SYLVIE AYME;03/11/2006;03/11/2006;DOMAINE PUBLIC;JARDIN DES HALLES;75001;JARDIN DES HALLES 75001 Paris France;48.86256, 2.34688
MES COPINES;SYLVIE AYME;03/11/2006;03/11/2006;EXTERIEUR;QUAI DE BOURBON;75004;QUAI DE BOURBON 75004 Paris France;48.853023, 2.355285
ENSEMBLE, C'EST TOUT;CLAUDE BERRI;05/09/2006;05/09/2006;EXTERIEUR;PLACE SANTIAGO DU CHILI;75007;PLACE SANTIAGO DU CHILI 75007 Paris France;48.859167, 2.312778
LE DIABLE S'HABILLE EN PRADA;DAVID FRANKEL;15/12/2005;15/12/2005;EXTERIEUR;RUE DE LA BUCHERIE/RUE DU HAUT PAVE (ANGLE);75005;RUE DE LA BUCHERIE/RUE DU HAUT PAVE (ANGLE) 75005 Paris France;48.843491, 2.351834
MON MEILLEUR AMI;PATRICE LECONTE;13/01/2006;13/01/2006;EXTERIEUR;EGLISE DU SAINT ESPRIT (186, AV DAUMESNIL);75012;EGLISE DU SAINT ESPRIT (186, AV DAUMESNIL) 75012 Paris France;48.83857, 2.398389
MON MEILLEUR AMI;PATRICE LECONTE;19/01/2006;19/01/2006;EXTERIEUR;PLACE LECORBUSIER;75006;PLACE LECORBUSIER 75006 Paris France;48.837475, 2.238775
MON MEILLEUR AMI;PATRICE LECONTE;26/01/2006;26/01/2006;EXTERIEUR;PONT DE LA CONCORDE;75008;PONT DE LA CONCORDE 75008 Paris France;48.86366, 2.319788
MON MEILLEUR AMI;PATRICE LECONTE;13/03/2006;13/03/2006;EXTERIEUR;RUE BRUNEL;75017;RUE BRUNEL 75017 Paris France;48.877849, 2.28816
MON MEILLEUR AMI;PATRICE LECONTE;15/03/2006;15/03/2006;EXTERIEUR;SQUARE DE CLIGNANCOURT;75018;SQUARE DE CLIGNANCOURT 75018 Paris France;48.89306, 2.346369
MON MEILLEUR AMI;PATRICE LECONTE;02/02/2006;02/02/2006;DOMAINE PUBLIC;SQUARE DE CLIGNANCOURT;75018;SQUARE DE CLIGNANCOURT 75018 Paris France;48.89306, 2.346369
DANS PARIS;CHRISTOPHE HONORE;02/02/2006;02/02/2006;EXTERIEUR;AVENUE DE TOURVILLE;75007;AVENUE DE TOURVILLE 75007 Paris France;48.853905, 2.310528
DANS PARIS;CHRISTOPHE HONORE;01/03/2006;01/03/2006;EXTERIEUR;PLACE F. FOREST ET QUAI DE GRENELLE;75015;PLACE F. FOREST ET QUAI DE GRENELLE 75015 Paris France;48.851891, 2.285152
DANS PARIS;CHRISTOPHE HONORE;01/02/2006;01/02/2006;EXTERIEUR;RUE DE SEVRES;75007;RUE DE SEVRES 75007 Paris France;48.848547, 2.320775
DANS PARIS;CHRISTOPHE HONORE;02/03/2006;02/03/2006;EXTERIEUR;RUE PAUL ET JEAN LEROLLE;75007;RUE PAUL ET JEAN LEROLLE 75007 Paris France;48.862076, 2.312985
DANS PARIS;CHRISTOPHE HONORE;02/02/2006;02/02/2006;EXTERIEUR;RUE DE BABYLONE;75007;RUE DE BABYLONE 75007 Paris France;48.851684, 2.320516
CHANGEMENT D'ADRESSE;EMMANUEL MOURET;02/07/2006;02/07/2006;EXTERIEUR;PLACE DE L'OPERA;75009;PLACE DE L'OPERA 75009 Paris France;48.870766, 2.332529
CHANGEMENT D'ADRESSE;EMMANUEL MOURET;18/01/2006;18/01/2006;EXTERIEUR;RUE DE LA SABLIERE/R BENARD (ANGLE);75014;RUE DE LA SABLIERE/R BENARD (ANGLE) 75014 Paris France;48.833022, 2.326889
CHANGEMENT D'ADRESSE;EMMANUEL MOURET;02/07/2006;02/07/2006;EXTERIEUR;RUE DE MOSCOU;75008;RUE DE MOSCOU 75008 Paris France;48.880865, 2.324309
LES AMBITIEUX;CATHERINE CORSINI;27/01/2006;27/01/2006;EXTERIEUR;BOULEVARD RASPAIL;75014;BOULEVARD RASPAIL 75014 Paris France;48.840591, 2.330121
LES AMBITIEUX;CATHERINE CORSINI;03/01/2006;03/01/2006;EXTERIEUR;PARKING DEVANT LE JARDIN DES TUILERIES;75001;PARKING DEVANT LE JARDIN DES TUILERIES 75001 Paris France;48.863492, 2.327494
LES AMBITIEUX;CATHERINE CORSINI;13/02/2006;16/02/2006;EXTERIEUR;RUE MARTEL;75010;RUE MARTEL 75010 Paris France;48.874212, 2.353121
BELLE TOUJOURS;MANUEL DE OLIVEIRA;13/02/2006;13/02/2006;EXTERIEUR;RUE MARIVAUX;75002;RUE MARIVAUX 75002 Paris France;48.870811, 2.337425
BELLE TOUJOURS;MANUEL DE OLIVEIRA;20/02/2006;20/02/2006;EXTERIEUR;RUE DANIELLE CASANOVA;75001;RUE DANIELLE CASANOVA 75001 Paris France;48.867869, 2.33184
MA PLACE AU SOLEIL;ERIC DE MONTALIER;30/03/2006;30/03/2006;EXTERIEUR;RUE CALMELS;75018;RUE CALMELS 75018 Paris France;48.893676, 2.339022
